"gene","rho_LGG","p_value_LGG","FDR_LGG","n_LGG","rho_GBM","p_value_GBM","FDR_GBM","n_GBM","delta_rho_LGG_minus_GBM","abs_delta_rho"
"DIO1",0.667412302423974,8.2366618125695e-68,7.56580914559128e-66,516,0.0524767931002955,0.37828450226111,0.547723431932646,284,0.614935509323678,0.614935509323678
"SNAP25-AS1",-0.451721858022556,2.60273651550531e-27,5.64852817892473e-26,516,0.163206284049881,0.00583738434257805,0.0261747614061269,284,-0.614928142072437,0.614928142072437
"AP005901.3",-0.39452072091303,1.15467396855278e-20,1.75204639155291e-19,516,0.219989056375448,0.000186339200255878,0.00161159453159077,284,-0.614509777288478,0.614509777288478
"BICDL1",-0.543823036219193,4.73849944080593e-41,1.92854878898104e-39,516,0.0704223009410117,0.236804037524134,0.398621181640223,284,-0.614245337160205,0.614245337160205
"LINC00294",-0.51165767000151,9.04953825682122e-36,2.92291289689015e-34,516,0.101309437431732,0.0883522539481821,0.199058692630242,284,-0.612967107433242,0.612967107433242
"IQSEC3",-0.558993042558565,9.55960826842408e-44,4.28937117308614e-42,516,0.0531525843187845,0.372165843472501,0.541581565844739,284,-0.612145626877349,0.612145626877349
"CEP89",0.552480401175146,1.42708231848143e-42,6.12593520162117e-41,516,-0.059613324357527,0.316787432894558,0.486177155217035,284,0.612093725532672,0.612093725532672
"ZNF662",0.456060676928468,7.20557225686305e-28,1.60889321091878e-26,516,-0.154784221106621,0.00898221591525828,0.0363121185002562,284,0.610844898035089,0.610844898035089
"DOCK7",0.646245693224046,2.45558736098967e-62,1.97043445468278e-60,516,0.0355646244960932,0.550579990572934,0.699575450907292,284,0.610681068727953,0.610681068727953
"SCG2",-0.356199017906837,7.00218955795714e-17,8.37874794150724e-16,516,0.253940230559477,1.47881980774801e-05,0.000176243078471402,284,-0.610139248466315,0.610139248466315
"NKX6-3",-0.501144345411089,3.66378446989079e-34,1.09277111134425e-32,516,0.108508971350249,0.0678569249578216,0.164409089630578,284,-0.609653316761338,0.609653316761338
"MSX2",-0.277205462555151,1.47808380895965e-10,1.06313257514566e-09,516,0.332400118627796,9.4081036932953e-09,2.11646964288267e-07,284,-0.609605581182947,0.609605581182947
"KCNIP2",-0.636715079413621,5.19676714135081e-60,3.87296269897161e-58,516,-0.0276943790322369,0.642114252853838,0.770509995698892,284,-0.609020700381384,0.609020700381384
"AC107918.4",-0.539166726661197,2.99002228221842e-40,1.17871143576274e-38,516,0.0676889306828511,0.25554343788648,0.419786550221655,284,-0.606855657344049,0.606855657344049
"TESPA1",-0.212708824125822,1.08255058726493e-06,5.11623569189185e-06,516,0.392666726476395,6.60782954022468e-12,2.22668579551092e-10,284,-0.605375550602217,0.605375550602217
"THY1",-0.354730850228183,9.55704401978058e-17,1.13612578645081e-15,516,0.250525582357826,1.94051781504471e-05,0.000224764785553508,284,-0.605256432586009,0.605256432586009
"LY6E-DT",-0.431384955314625,8.42360406653176e-25,1.59791073647564e-23,516,0.172760131902484,0.00349407127713089,0.0175205930989095,284,-0.604145087217108,0.604145087217108
"IGKV1D-8",-0.345396874817664,6.65034644747314e-16,7.49271482178311e-15,516,0.258724534866277,1.00405632271046e-05,0.000124789230068746,284,-0.604121409683941,0.604121409683941
"KCNJ9",-0.532861147991568,3.46241396256003e-39,1.30223187189733e-37,516,0.0711894951632802,0.231722513286883,0.393246206798397,284,-0.604050643154849,0.604050643154849
"SYT4",-0.522579825394257,1.68444873308486e-37,5.86659638598623e-36,516,0.0810617577032278,0.173104797847223,0.32056360505632,284,-0.603641583097485,0.603641583097485
"PDE2A",-0.540265223543465,1.94114765980676e-40,7.71148892054458e-39,516,0.0633197735791726,0.287580156818677,0.454512406650954,284,-0.603584997122638,0.603584997122638
"SELL",0.0940735711497409,0.0326388260041773,0.0708418150306213,516,0.695798222476013,1.9947928253188e-42,4.04999937620439e-40,284,-0.601724651326272,0.601724651326272
"ERF",0.555399779704973,4.27940428317214e-43,1.86966610487763e-41,516,-0.0447608096037636,0.452428553766035,0.616305435265301,284,0.600160589308737,0.600160589308737
"ZNF432",0.503412470184531,1.66680664280949e-34,5.06234269134145e-33,516,-0.0957285464694434,0.107434917235948,0.22880179115713,284,0.599141016653974,0.599141016653974
"PRKAR2B",-0.434327697619997,3.73852116027758e-25,7.23263009812469e-24,516,0.164209059452493,0.00553802035984862,0.0251498147800507,284,-0.59853675707249,0.59853675707249
"H3C8",0.391847862192289,2.20209695875089e-20,3.29009942599304e-19,516,-0.205749056361603,0.000483998003261038,0.00358632931300619,284,0.597596918553892,0.597596918553892
